,customer_number,principal_amount,outstanding_amount,outstanding_ratio,dpd,is_delinquent,avg_bill_gap,late_ratio,paid_ratio,marital_status,age_group
0,00021de397e26002b12c5e4f26451ca22b579dfec52b6b01f1407b5f83a3e410,4500000.0,1890000.0,0.42,0,0,-6.22,0.6,1.0,MARRIED,adult
1,0009cd202de1bc3adaaf0c4d9a2a5f9a9e55bc244091fb0095c49a56d01798ec,5000000.0,2300000.0,0.46,0,0,-0.68,0.08,0.88,MARRIED,senior
2,000b1ec95a9fa760b750d7556ff572f482d82607642328ff178f8a8a18688bfc,5000000.0,3133700.0,0.62674,47,1,-0.8,0.06,0.3749588631264024,MARRIED,adult
3,000df65014c496b53101cce0083ae68e4236a5d09d0c65f05b8ff2d6e698d38e,8000000.0,3520000.0,0.44,0,0,-6.62,0.12,1.0,MARRIED,young
4,001255a9e1ee84209df537b57ceecda80547690e9226661851324297c0c537ed,8000000.0,3520000.0,0.44,0,0,-0.56,0.42,0.82,MARRIED,mature
5,0016e0c93e1a99fec27c4463f392e1333b72aaa4e8ce4f9866542b31652e80df,5000000.0,2300000.0,0.46,0,0,-7.3,0.66,1.0,MARRIED,senior
6,00191cc569763212dced3744551fc14f31b6d1c9028d86eac384362d31f96b7a,6000000.0,2700600.0,0.4501,0,0,1.92,0.78,0.9,MARRIED,mature
7,001bd1466e782b2db4652e9808d81c2ef31f17feb6b7abf385bc4c24be77dacf,5000000.0,2100000.0,0.42,0,0,-12.06,0.1,1.0,MARRIED,mature
8,001e670bd97e266b68dba3468e79b2189f734db755975255a64b3680710c48c0,6000000.0,2640000.0,0.44,0,0,2.92,0.26,0.76,MARRIED,senior
9,00244adacc1abb479611307ccf8a01d76ff908adb3d60e0835005b2ad5bad8f2,6000000.0,3500000.0,0.5833333333333334,41,1,23.354166666666668,0.6041666666666666,0.7777567975830816,MARRIED,mature
10,0029a02aa9ed830b1533d3fc432b7f6a04554b42afbbc559c5570050b2c0b7d4,6000000.0,0.0,0.0,0,0,-98.02,0.1,1.0,MARRIED,adult
11,0037206e7f253bc75159d1762f799b95640383557a9a2a93bdf893b21271821c,6000000.0,2520000.0,0.42,0,0,-6.38,0.08,0.92,MARRIED,mature
12,0037805b3133b4768360d62fdfc02b9e96300f77a8af211e54646e87e42985fa,6000000.0,4080000.0,0.68,75,1,-0.08,0.18,0.32,MARRIED,mature
13,003ba4823d86430e68acfda0e5b7c80fe76f795f3404f58812b0e03ef8790a9e,5000000.0,2700000.0,0.54,40,1,0.24,0.14,0.46,MARRIED,mature
14,0057ea286e18f6b52cb2a03c192245efda5d9fe1548b1f8e98ffc214dd9abcb4,5000000.0,2300000.0,0.46,0,0,-0.26,0.38,0.86,WIDOWED,senior
15,005dd886811172088bcf601ade6a0c1fe91809179e376e07493bb30cf62fc89a,5000000.0,2400000.0,0.48,0,0,-7.02,0.1,1.0,MARRIED,mature
16,006b8d2ee6a20198c9d1434577aa22922345a4540f15ac1cc6157dbb1857d592,5000000.0,2400000.0,0.48,0,0,-5.62,0.38,1.0,MARRIED,young
17,0072c40b2181060db0ee9e42f93206870793ef8e1b75e04638bb8f1ee3b166fc,5000000.0,2400000.0,0.48,0,0,-9.0,0.1,1.0,MARRIED,young
18,007e19639936358a408026b250f5363d9906c90ad0a218836eeecbde5e90390d,5000000.0,2300000.0,0.46,0,0,-13.66,0.06,1.0,MARRIED,mature
19,007e4b51347f455fd8b4f55b7dfe458fe35a6780adbb2951adc9b94c396020ff,8000000.0,3840000.0,0.48,0,0,-6.24,0.06,1.0,MARRIED,adult
20,008482a780de3b185a066549bc36b4bee2f68333c99ac25887c08c2d755a788b,5000000.0,2300000.0,0.46,0,0,-0.52,0.14,0.88,MARRIED,mature
21,008a179761d2138bd9a053281769b96d04b0fa87adcd8438f8754e5e8896682c,5000000.0,2300000.0,0.46,0,0,-10.3,0.12,1.0,MARRIED,adult
22,008e6a1eff62bde1badfb6ff46bfc4c66274d5d261938cce57362a210aefd2a6,5000000.0,2400000.0,0.48,0,0,0.5,0.74,0.86,MARRIED,senior
23,0095afd90c8ebfe47bd5c0106def5a6b58933a770d6575219906564472d3db1a,5000000.0,3400000.0,0.68,75,1,0.96,0.22,0.32,MARRIED,mature
24,0096476383c9fc73fd317ac5df48fd326d15a755d0499784d5f7f40bc2a2c608,6000000.0,2760000.0,0.46,0,0,-0.64,0.14,0.88,MARRIED,mature
25,00a58f08e3f74096a49cbd9de2d6ba1b7046161b35346d4f6db6709f7509ff5b,5000000.0,2100000.0,0.42,0,0,-0.52,0.24,0.94,MARRIED,adult
26,00a69717cbc1364c88b23901e95b6998c3fbe5df7abeee9fe62e375835dcc0de,5000000.0,2300000.0,0.46,0,0,-10.0,0.2,1.0,MARRIED,adult
27,00abcb4296774d72c8acda7f9166206c8f616047db5eac428e58f5a19ad9564a,5000000.0,2000000.0,0.4,0,0,-0.96,0.12,0.64,MARRIED,adult
28,00b436a76f9e029502f72a28410cc771a015ef22aa3cda23405c92d4d9f5f37d,4000000.0,1760000.0,0.44,0,0,-14.04,0.06,1.0,MARRIED,mature
29,00b46db5c69b55abf6578ea975244d0ac29757b92f1765dbb39163f89d396614,5000000.0,2400000.0,0.48,0,0,-0.38,0.16,0.84,MARRIED,senior
30,00c51eaf6c3653fdcefa6a6cf0339cc39b05e7309fa042ef7b84293f659b4287,5000000.0,2200000.0,0.44,0,0,-18.8,0.04,1.0,MARRIED,adult
31,00cbb8901ab4bad40bf90074a4b1072d783587010538a13198da149d2a2f2aed,5000000.0,2500000.0,0.5,0,0,-9.08,0.08,1.0,MARRIED,senior
32,00cd283b4ce77fb09d0b152afd4bfd77030bd6b2a8b59f3f68884de4e464e48f,5000000.0,2000000.0,0.4,0,0,-2.76,0.36,0.92,MARRIED,mature
33,00ceda504475bcf8fc8a09478683b4eaf246c28f1354c286fde74647346b8510,5000000.0,2100000.0,0.42,0,0,-5.52,0.12,1.0,MARRIED,senior
34,00cf82828df52a257dc0f07b2ec27e606fc2068d2a4c2436603d4ea959aabe20,5000000.0,2300000.0,0.46,0,0,-0.64,0.14,0.88,MARRIED,young
35,00d0c70f9a99cb16a2d22a9c87a6e11e57c0b0f322bb0abea98cedaf459e3841,6000000.0,2760000.0,0.46,0,0,-6.14,0.1,1.0,MARRIED,adult
36,00d17693148e3ea2b38cc107d65404a20c3f7bfd7ad2e188b57e7d8652228dc5,5000000.0,2200000.0,0.44,0,0,-9.42,0.12,1.0,MARRIED,mature
37,00e0ffa0d9f7ef417f183cae878e1d96b8700d9ae851b3119db3133dacad44f1,7000000.0,3220000.0,0.46,0,0,0.64,0.2,0.68,MARRIED,mature
38,00e294910bf34ce02dda22500774d0561570a0280a2d6866243db22a9e8c84a8,5000000.0,2000000.0,0.4,0,0,-13.46,0.02,1.0,MARRIED,mature
39,00e57f481c726dfad45a39245bb99988f1ff30e21ddbcc622de53ab774f3c479,5000000.0,2000000.0,0.4,0,0,-12.76,0.02,1.0,MARRIED,mature
40,00e8df9279835fd45eb66c9ac6f6fec2fa00066485cc9b6a0aa722da3fa62a9a,7000000.0,2768900.0,0.3955571428571428,0,0,-3.7916666666666665,0.0208333333333333,1.0,MARRIED,adult
41,0104c0fd9e84bbbb3031b38f76393a2945a17634413a04cf0dad1063b3a62e4b,5000000.0,2400000.0,0.48,0,0,-9.68,0.64,1.0,MARRIED,mature
42,010774b0132bdb9cb63ff57151bcf1a1b0078a0236810956d9f1b24953e6091b,5000000.0,2000000.0,0.4,0,0,-9.68,0.14,1.0,MARRIED,mature
43,01098908a99e7d373fabd1ade607fd587e9ae9dd589219d92663599576d20742,8000000.0,3520000.0,0.44,0,0,-12.06,0.16,1.0,MARRIED,senior
44,010a5985576f31ab7d4f9eeca123b70f612f00ab68e55ffa98c6dbc62c43990f,7000000.0,4030382.0,0.5757688571428572,41,1,23.77083333333333,0.7291666666666666,0.8961430423509075,MARRIED,mature
45,011381f40546b3365c7b14aca7d6abe72742e9c16f03dc1436fdd2e4b112bcd9,6000000.0,2520000.0,0.42,0,0,-1.84,0.5,1.0,MARRIED,mature
46,01141b5ef08053c88a673f325dc5638b0e63ca26ccfb14882a4d8622cb924992,7000000.0,3220000.0,0.46,0,0,-11.32,0.1,1.0,MARRIED,mature
